epoch,train_loss,val_loss,val_mIoU,pixel_accuracy,learning_rate,checkpoint_saved,best_updated,background_IoU,wall_IoU,opening_IoU,room_IoU,icon_IoU
0,0.464668,0.319271,0.747574,0.888683,5.994e-05,True,True,0.830282,0.745507,0.646529,0.816927,0.698622
1,0.285851,0.266532,0.780851,0.903568,5.976e-05,True,True,0.850089,0.759109,0.712542,0.837232,0.745283
2,0.253834,0.240584,0.799755,0.9146,5.947e-05,True,True,0.869119,0.76759,0.738183,0.856218,0.767663
3,0.23691,0.233219,0.807717,0.9159,5.906e-05,True,True,0.868641,0.772468,0.757908,0.855666,0.783902
4,0.224246,0.235047,0.810013,0.914773,5.853e-05,True,True,0.864456,0.776904,0.767116,0.852697,0.788894
5,0.215096,0.219004,0.820543,0.921567,5.789e-05,True,True,0.875473,0.77985,0.77449,0.865432,0.807471
6,0.208089,0.215161,0.823914,0.922811,5.714e-05,True,True,0.877787,0.782695,0.778272,0.866635,0.814182
7,0.201749,0.220575,0.824534,0.920681,5.629e-05,True,True,0.867997,0.785445,0.785053,0.864364,0.819813
8,0.197588,0.203485,0.832401,0.927962,5.533e-05,True,True,0.883805,0.786061,0.791473,0.878328,0.82234
9,0.192644,0.208249,0.832225,0.92508,5.427e-05,True,False,0.873028,0.789425,0.796275,0.87398,0.828418
10,0.186726,0.207066,0.834789,0.925914,5.312e-05,True,True,0.874241,0.791633,0.797934,0.874984,0.835153
11,0.184035,0.201002,0.837694,0.928009,5.187e-05,True,True,0.879174,0.792349,0.802356,0.878144,0.836447
12,0.179108,0.195742,0.841372,0.930514,5.054e-05,True,True,0.8846,0.794793,0.805375,0.882376,0.839714
13,0.176976,0.194424,0.842946,0.931051,4.912e-05,True,True,0.88924,0.795329,0.80607,0.880203,0.843891
14,0.174855,0.192354,0.844816,0.932533,4.763e-05,True,True,0.890408,0.796495,0.807093,0.884379,0.845707
15,0.172516,0.203629,0.841415,0.927462,4.607e-05,True,False,0.879752,0.797268,0.810732,0.872573,0.84675
16,0.168611,0.186671,0.848491,0.935064,4.445e-05,True,True,0.895025,0.799339,0.812528,0.889445,0.846121
17,0.16671,0.181818,0.851616,0.936967,4.277e-05,True,True,0.898464,0.80062,0.815029,0.892941,0.851023
18,0.164092,0.181431,0.851351,0.936584,4.104e-05,True,False,0.896482,0.7997,0.815701,0.892992,0.851882
19,0.160508,0.187346,0.852398,0.936565,3.927e-05,True,True,0.899261,0.799574,0.817128,0.890249,0.855778
20,0.159742,0.182676,0.854405,0.938054,3.746e-05,True,True,0.90242,0.80183,0.818934,0.892828,0.856015
21,0.158215,0.19637,0.847595,0.931859,3.562e-05,True,False,0.887214,0.799713,0.817218,0.881814,0.852016
22,0.156964,0.179812,0.856694,0.939438,3.376e-05,True,True,0.903711,0.802054,0.821084,0.896357,0.860265
23,0.155261,0.179677,0.856487,0.938701,3.188e-05,True,False,0.902615,0.803406,0.822341,0.893963,0.86011
